Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python,sql,excel,spark,aws,experience_2years
Data Engineer,$63k-$118k (Glassdoor Est.),"Organization Description
Tides is a philanthropic partner and nonprofit accelerator dedicated to building a world of shared prosperity and social justice. Tides works at the nexus of funders, changemakers, and policy, with extensive impact solutions including philanthropic giving and grant making, impact investing, fiscal sponsorship for social ventures, collaborative workspaces, and policy initiatives. Our extensive tools and know-how give our partners the freedom to hit the ground running and drive change faster than they can on their own. For more information, please visit www.tides.org.

Position Summary
We are seeking a service-oriented and self-motivated professional to join Tides’ IT team. In this role, you will be responsible for managing our data architecture, optimizing our data flows between existing systems, and working with corss functional teams around continuous improvements. You will be tasked with maintaining our ERDs, helping map and support our integrations, data security, and data governance requirements.

Essential Functions
• Map existing data models on SaaS and internal databases and systems as required.
• Manage change management across systems integrations, workflows, and automations to assure proper data management and protections are stabilized.
• Partner with all Tides departments on refining data needs and contribution across the systems, process, and people continuous improvement model.
• Work with stakeholders to assist with data-related technical issues and support their data infrastructure needs.
• Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
• Drive data classification, handling, and security efforts across the organization and with our partnerships.
• Remain effective and process-oriented with great documentation skills.

Knowledge, Skills, and Abilities
•Strong organizational, problem-solving, and analytical skills; ability to manage situations, reprioritize, and meet demanding deadlines
•Strong analytical skills around datasets and correlation
•Project management skills around scoping, timelines, and expectation management
•Demonstrated experience around data mapping, ERD development, and integrations management
•Excellent verbal and written communication skills
•Ability to work collaboratively with a diversity of individuals at all organizational levels
•SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
•Excellent interpersonal skills with proven ability to develop effective working relationships with individuals possessing a variety of communication styles in a multicultural environment
•Ability to make timely and sound decisions and maintain confidentiality
•Experience working for and/or with nonprofits is a plus
•Proven ability to provide exceptional customer service to a variety of clients with varying degrees of technical expertise
•Ability to diagnose and resolve wide-ranging technical issues
•Proﬁciency in English
•Experience with schema design and dimensional data modeling
•Ability in managing and communicating data warehouse plans to internal clients
•Experience designing, building, and maintaining data processing systems

Education and Experience

• 3+ years of experience in a data management role
• Bachelor’s Degree in Computer Science, Statistics, Informatics, Information Systems, or a similar field
• Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
• Experience building with big data tools and analytics systems

Application Instructions
Please submit a resume and a thoughtful cover letter online. Your cover letter should express your interest in working for Tides and your qualifications for the role. You may also share your detailed LinkedIn profile with us. Tides is an Equal Opportunity employer. We value diversity and inclusion and we look forward to reviewing applications from all who are qualified to apply.

Equal Employment Opportunity
Tides is an equal opportunity employer. We strongly encourage applications from women, people of color, and bilingual and bicultural individuals, as well as members of the lesbian, gay, bisexual, and transgender communities. Applicants shall not be discriminated against because of race, religion, sex, national origin, ethnicity, age, disability, political affiliation, sexual orientation, gender identity, color, marital status, or medical condition including acquired immune deficiency syndrome (AIDS) and AIDS-related conditions. Also pursuant to the San Francisco Fair Chance Ordinance, we encourage and will consider for employment qualified applicants with arrest and conviction records.

Applicants with Disabilities
Reasonable accommodation will be made so that qualified disabled applicants may participate in the application process. Please advise in writing of special needs at the time of application.",3.6,"Tides
3.6","San Francisco, CA",-1,51 to 200 Employees,1976,Nonprofit Organization,Grantmaking Foundations,Non-Profit,$100 to $500 million (USD),-1,0,63,118,90.5,"Tides
", CA,0,44,0,1,1,0,0,0
Data Engineer,$91k-$159k (Glassdoor Est.),"Do you believe that creators should have the ability to get paid for the value they give to their fans?


We do, which is why we're building Patreon, a platform that powers membership services for creators with established followings. Patreon strives to provide creators with insight, education, and tools that make it possible to retain creative control while running their creative business, so creators can focus on creating and energizing their fanbases.

Our user base has doubled in the last year alone, and we have paid over $500 million directly to creators on our platform. In order to support this level of growth, Patreon is looking for a Data Engineer.

What you will do:
Maintain and improve our data warehouse
Organize and optimize raw data
Develop new data pipelines and maintain existing pipelines
Collaborate with data scientists on data analysis and query creation/optimization
Skills and experience you possess:


3+ years experience in a Data Engineer role
2+ years experience writing Python or some other object oriented programming language
Experience building and maintaining data warehouses
Experience building, maintaining and optimizing data pipelines
Experience with data pipeline and workflow management tools such as Airflow, Luigi
Advanced SQL knowledge
Basic knowledge of Infrastructure as Code and configuration management systems (Chef, Puppet, or Ansible)
Experience with AWS big data tools such as Redshift (Redshift Spectrum, Athena, Kinesis, EMR) a plus
Experience with big data technologies such as Kafka, Spark a plus
Knowledge of MySQL a plus
Projects you may work on:


A new Machine Learning Pipeline for serving Data Science and the Product
Migrating our data warehouse from Redshift to Snowflake
Creating a new Sparking Streaming Pipeline for Creator Insights
Any other data needs from the product or our data scientists.
What you will have the chance to learn:
Data Warehouse and Pipelining best practices
On a team of 2-3 determining the long-term data architecture of Patreon.
AWS Infrastructure, Data science or Machine Learning if you so choose.
Who you'll work with:


At Patreon, you'll join a high-performing and highly-empathetic team of people who proudly work on fulfilling our mission of funding the creative class. Our culture of creator-first, thoughtful teammates keeps work creative, stretching, and rewarding.

Our Core Behaviors:
Put Creators First. Patreon is nothing without our creators.
Achieve Ambitious Outcomes. Set, measure, and accomplish goals that deliver massive value to our creators and patrons.
Cultivate Inclusion. We want an environment that retains and engages the diverse teams we build.
Bias Towards Action. When in doubt, we take the next best step, then course correct when needed. We go out of our way to fix problems when we see them. We take ownership seriously.
Be Candid and Kind. Be extremely caring and extremely direct in all you do at Patreon, especially when it comes to giving positive and constructive feedback.
Be Curious. You don't know it all, and that's the fun part. Everything gets better when you're curious. Things get more interesting, more clear, and more approachable. When you bring curiosity into the workplace, you're growing yourself, your teammates, and Patreon as a whole.
Want to learn more about Patreon?
Check out our reviews on Glassdoor
Check to see if you know a Patreon teammate on LinkedIn
#LI-KM2",3.2,"Patreon
3.2","San Francisco, CA",-1,201 to 500 Employees,2013,Company - Private,Publishing,Media,Unknown / Non-Applicable,-1,0,91,159,125.0,"Patreon
", CA,0,7,1,1,0,1,1,0
Data Engineer,$108k-$192k (Glassdoor Est.),"Data Engineer

The data team designs, implements and scales data pipelines that transform raw data into actionable models and metrics that enable insight. This team owns the pipelines that transport and process database data from all of Asana's product surfaces. We build and operate the infrastructure and services that ensure data accuracy and data availability for data scientists, analysts, and business and product teams.

We are looking for a data engineer to found our product data engineering team. This team will have ownership of the core data pipelines powering Asana's metrics and partner with our existing data infrastructure team, data science team, and cross-functional partners to help evolve our analytic data model as data volume grows and new needs arise to support the growth of the business.

What you'll achieve
Architect, build, and launch scalable data pipelines to support Asana's growing data processing and analytics needs. Some upcoming projects you may work on include designing and implementing pipelines that deliver data with high quality, consistency, and timeliness. Evangelize high-quality software engineering practices for building data infrastructure and pipelines at scale.
Produce foundational data tables and metrics with clear definitions, lineage, and test coverage to ensure that data is reliable, intelligible, and maintainable
Understand and influence logging frameworks and practices to support our data flow, architecting logging best practices where needed
Implement systems to track data quality and consistency
Partner with business domain experts, data scientists and analysts, and engineering teams to build a roadmap for foundational data sets that are aligned with business goals and that enable self-service. Some upcoming projects you may work on include evolving data models and schemas based on business, product, and engineering needs to facilitate data-driven decisions and features across Asana. Drive the collection of new data and the refinement of existing data sources; develop relationships with product engineering teams to manage our analytic data model as the Asana product evolves.
About you
Bachelor's degree in Computer Science, Math, Statistics, Engineering, or a related quantitative field, or equivalent experience
5+ years of industry experience in software engineering or data engineering
Experience using coding languages Python, Java, Scala
Experience using workflow management engines (e.g. Airflow, Luigi, Prefect, Dagster, digdag.io, Google Cloud Composer, AWS Step Functions, Azure Data Factory, UC4, Control-M)
Experience with Hadoop or similar ecosystem (MapReduce, Yarn, HDFS, Hive, Spark, Presto, Pig, HBase, Parquet)
Effective in working across team boundaries to establish overarching data architecture, and provide guidance to individual teams
Expertise in relational databases and query authoring (SQL)
About us

At Asana, we're building a better way to work, fueled by transparency, inclusion, and technology that is a force for positive change. Asana is a work management platform that helps teams orchestrate their work, from daily tasks to strategic initiatives, so they can move faster and accomplish more with less. For the past 5 years, we've been named a top workplace, including top 10 Great Place to Work Best Small & Medium Workplaces, #1 Fortune Best Workplaces in the Bay Area, #8 Fortune Best Workplaces for Women, and one of Ireland's Best Workplaces. With offices all over the world, we are always looking for curious, collaborative, and mission-driven people to help us enable the world's teams to work together effortlessly.

We believe in supporting people to do their best work and thrive, and building a diverse, equitable, and inclusive company is core to our mission. Our goal is to ensure that Asana upholds an inclusive environment where all people feel that they are equally respected and valued, whether they are applying for an open position or working at the company. We welcome applicants of any educational background, gender identity and expression, sexual orientation, religion, ethnicity, age, citizenship, socioeconomic status, disability, and veteran status.

More information:
Rethinking the org chart: Areas of Responsibility (AoRs)
Distributed responsibility: An engineering manager's perspective
The Pyramid of Clarity",4.9,"Asana
4.9","San Francisco, CA",-1,501 to 1000 Employees,2009,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,108,192,150.0,"Asana
", CA,0,11,1,1,0,1,1,0
Autonomous Driving Data Engineer,$99k-$178k (Glassdoor Est.),"Leading the future of luxury mobility

Lucid’s mission is to inspire the adoption of sustainable energy by creating the most captivating luxury electric vehicles, centered around the human experience. Working at Lucid Motors means having a shared vision to power the future in revolutionary ways. Be part of a once-in-a-lifetime opportunity to transform the automotive industry.

We are currently seeking an experienced Big Data Engineer to help building up our large-scale data management system for the ADAS / Autonomous Driving team. This field allows contributions on various levels around the data pipeline and data processing, data annotation, machine learning, data ingestion, data pre-processing, integration of Deep Neural Network frameworks, efficient data search and high performance data manipulation.
You Will:
Work with a state-of-the-art data pipeline on the development and test process of the ADAS/AD features
Enable efficient data (pre-)processing in our cloud infrastructure
Contribute to the architecture and implementation of an efficient data ingestion process to transfer and store large-scale vehicle sensor data from our Lucid Air test vehicles efficiently into our data storage
Help to optimize the data storage, search and data processing based on a diverse mix of storage solutions, caching techniques and big data frameworks.
Contribute to the implementation of a secure distributed data access solution for data on-premise and via cloud providers to connect Lucid data with service providers and partners
Work with machine learning experts, testing engineers and software developers to solve challenging development problems
You Bring:
Knowledge of database systems, big data concepts and cluster computing frameworks (e.g. Spark, Hadoop, or other tools)
Excellence in C++, Python, Java or other related programming languages
Previous experience with big data applications or back-end software development
Experience with machine learning, data engineering, deep learning frameworks and related open-loop testing techniques
Strong communication skills
Great to Have:
Previous experience building efficient large-scale data collection, storage and processing pipelines
Understanding of cyber-security issues and best practices
Advanced degrees preferred
Education:
BS minimum in the areas of Computer Science/Engineering, Data Engineering or other related fields
4+ years of work experience or a PhD in a related field
LMHP

Be part of something amazing

Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

At Lucid, we don’t just welcome diversity - we celebrate it! Lucid Motors is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, national or ethnic origin, age, religion, disability, sexual orientation, gender, gender identity and expression, marital status, and any other characteristic protected under applicable State or Federal laws and regulations.

To all recruitment agencies: Lucid Motors does not accept agency resumes. Please do not forward resumes to our careers alias or other Lucid Motors employees. Lucid Motors is not responsible for any fees related to unsolicited resumes.",3.9,"Lucid Motors
3.9","Newark, CA",-1,1001 to 5000 Employees,2007,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1,0,99,178,138.5,"Lucid Motors
", CA,0,13,1,0,1,1,1,0
Data Engineer,$99k-$178k (Glassdoor Est.),"Tribe and Karma of the Team:


At Segment, we believe that good data is the foundation of good decision-making. Too often, we see product managers and marketers with siloed or conflicting pieces of the picture, and engineers who struggle to keep up with evolving data needs. Segment standardizes and streamlines data infrastructure using a single platform that collects, unifies, and sends data to hundreds of business tools with the flip of a switch. We ensure that all of our customers are equipped with a holistic and detailed view of their customers, unlocking digital transformations, personalized marketing, and a data-driven future.

Data Engineering enables Segment to derive insights about our customers and product usage effectively and efficiently, and it is the backbone of all data-driven decisions we make to move the business forward.

This is a rare opportunity to be one of the founding members of Segment's internal Data Engineering team. As a founding data engineer, you will be part of the core team responsible for building out our data lake, processing many terabytes of data, and developing efficient ETL pipelines to deliver data and insights to partners across the company. Additionally, you have the opportunity to provide feedback to Product and Engineering teams that will help shape the future of our products.

Drive and Focus of the Role:

Design, build and launch efficient and reliable data pipelines for ingesting and transforming data from internal and cloud applications
Assist partners in Analytics, Product, and Go-to-Market teams to with their data transformation and infrastructure needs
Optimize Segment's internal data storage and compute resources to improve performance, reliability, and availability of the data
Execute on our data lake and self-service strategies
Own and maintain Segment's internal data infrastructure assets primarily hosted on AWS
Build back-end data services for internal applications
Build data engineering tools and frameworks to enable common data processing patterns at scale
What we're looking for:

2+ years of hands-on experience with Python, Java, or Scala for data processing
2+ years of data or software engineering experience
Knowledge of data pipelining and workflow management tools such as Airflow
Working experience with data warehouses such as Snowflake
Advanced working SQL experience
Experience building big data (terabyte scale) processing pipelines using a distributed data processing engine/framework
Hands-on experience with versioning, continuous integration, and build & deployment tools and platforms such as Github and Buildkite
Familiar with dimensional data modeling and data normalization
Familiar with data-lake architecture and data serialization formats such as JSON and Parquet
Exposure working in a dynamic and fast-paced shop
BS or MS degree in Computer Science or a related technical field

Segment is an equal opportunity employer. We believe that everyone should receive equal consideration and treatment in all terms and conditions of employment regardless of sex, gender (including pregnancy, childbirth, breastfeeding or related medical conditions), sexual orientation, gender identity, gender expression, race, color, religion, creed, national origin, ancestry, age (over 40), physical disability, mental disability, medical condition, genetic information, marital status, domestic partner status, military or veteran status, height, weight, AIDS/HIV status, and any other protected category under federal, state or local law. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.2,"Segment
4.2","San Francisco, CA",-1,201 to 500 Employees,2011,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,99,178,138.5,"Segment
", CA,0,9,1,1,0,0,1,0
Big Data Engineer,$92k-$168k (Glassdoor Est.),"Job Title:
Big Data Engineer

Location:
US, California, San Jose
Role Overview:


You will work with a team of Software Engineers to create the next generation of McAfee security products to enhance the auto detection and investigation of security breaches within large organizations. You will work with Architects and other Cloud Infrastructure Engineers to understand the designs, validate the features, and to deliver and integrate solutions in an AWS environment. If you are passionate about building security solutions that keep millions of enterprise customers safe with an outstanding user experience, then this position might be a perfect opportunity for you. You will report to the Sr. Manager, Software Engineering and will be based in San Jose, CA.



Company Overview


From device to cloud, McAfee provides market-leading cybersecurity solutions for both business and consumers. We help businesses orchestrate cyber environments that are truly integrated, where protection, detection, and correction of security threats happen simultaneously. For consumers, McAfee secures your devices against viruses, malware, and other threats, both at home and away. We want to continue to shape the future of cybersecurity by working together to build best in class products and solutions.

About the Role:
Help develop our next-generation micro-services to enhance auto detection of different breaches and other security concerns.
Use your knowledge of Java, Go or Python to create new features in the cloud.
Work with other software developers and be responsible for the whole solution including uptime and design of the product.
Work with other developers to fix bugs, debug issues and achieve resolution.
Understand and influence logging to support our Data Flow.
Pioneer a new way of thinking about Data Pipelines, Orchestration and Configuration at McAfee.
About You:
Your experience includes 5+ years of hands-on experience with Big Data technology(Kafka, Spark or Airflow).
Successful track record in developing and automating large-scale, high-performance data processing systems (batch and streaming).
Design data models for optimal storage and retrieval to meet critical product requirements.
Experience with both scripting and system programming languages (Python, Go and Scala).
Experience with microservices including defining and testing APIs.
Company Benefits and Perks:


We work hard to embrace diversity and inclusion and encourage everyone at McAfee to bring their authentic selves to work every day. We offer a variety of social programs, flexible work hours and family-friendly benefits to all of our employees.
Pension and Retirement Plans
Medical, Dental and Vision Coverage
Paid Time Off
Paid Parental Leave
Support for Community Involvement
We're serious about our commitment to diversity which is why McAfee prohibits discrimination based on race, color, religion, gender, national origin, age, disability, veteran status, marital status, pregnancy, gender expression or identity, sexual orientation or any other legally protected status.

Job Type:


Experienced Hire

Primary Location:
US, California, San Jose

Additional Locations:",3.5,"McAfee
3.5","San Jose, CA",-1,5001 to 10000 Employees,1987,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1,0,92,168,130.0,"McAfee
", CA,0,33,1,0,0,1,1,0
Data Engineer,$108k-$199k (Glassdoor Est.),"Grow your career at AppLovin.

AppLovin is a global leader in mobile entertainment. Its studios create popular, immersive mobile games and its technology brings games to more players around the world. Since 2012, the company's platform has been instrumental in driving the explosive growth of mobile games, resulting in a richer ecosystem and more games played by millions of people every day. AppLovin is headquartered in Palo Alto, California with several offices globally. Learn more at applovin.com.

AppLovin is one of Inc.'s Best Workplaces and a recipient of the 2019 Glassdoor Top CEO employee's choice award. The San Francisco Business Times awarded AppLovin one of the Bay Area's Best Places to Work in 2019 and 2020, and the Workplace Wellness Award in 2019 which recognizes businesses that are leaders in improving worker well-being.

About You:
Have 1-3 years of experience and a minimum of a BS and/or MS in Computer Science
Have excellent knowledge of computer science fundamentals including data structures, algorithms, and coding
Experience independently creating and maintaining projects
Product focused mindset
Have experience working with big data systems (Spark, Hadoop, Pig, Impala, Kafka)
Experience designing, building, and maintaining data processing systems
Experience with a backend language such as Java or Scala
About the Role:
Collaborate with various engineering teams to meet a wide range of technological challenges
Work closely with product and business teams to improve data models that feed business intelligence tools
Define company data models using Spark
Perks:
Free medical, dental, and vision insurance
Daily lunches and fully stocked kitchen
Free public transit
Free laundry service (wash/dry clean)
Free gym membership
401k matching
Fun company parties and events
Autonomy to make decisions in a rapidly growing company
Flexible Time Off - work hard and take time when you need it
Interested? Send us your resume and let's talk!

AppLovin is proud to be an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

#LI-JZ1",4.8,"AppLovin
4.8","Palo Alto, CA",-1,501 to 1000 Employees,2012,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,108,199,153.5,"AppLovin
", CA,0,8,0,0,1,1,0,0
Senior Data Engineer,$123k-$217k (Glassdoor Est.),"Faire is an online wholesale marketplace built on the belief that the future is local there are over 1M independent retailers in the U.S. and Canada doing more than twice the revenue of Walmart and Amazon combined. At Faire, we're using the power of tech, data, and machine learning to connect a thriving community of over 100,000 brands and local retailers around the world. Picture your favorite boutique in town we help them discover the best products to sell in their stores. With the right tools and insights, we believe that we can level the playing field so that small businesses can compete with these big box and ecommerce giants. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement.

Job Description

The Data Engineering team is the backbone of all data-related processes and enables the Data Science team to develop and deploy a wide variety of algorithms and models that power the marketplace. Our infrastructure is used by the whole company for analytics, reporting, forecasting and research. We care about having a reliable infrastructure with quality data and building machine learning models that help our customers thrive.

As a Senior Data Engineer you'll be responsible for developing and automating large scale, high-performance data storage and processing systems.

Our team already includes experienced Data Scientists and Engineers from Airbnb, Facebook, Quora, Square, Uber, TripAdvisor, and Overstock. Faire will soon be known as a top destination for data science and machine learning, and you will help take us there!

What you will be doing:
Develop our machine learning infrastructure to help us scale for where we're going over the next several years
Manage our data infrastructure and ETL platform
What it takes:
4+ years experience in a Data Engineering role
Strong skills in Python, Git, Docker, SQL, Airflow, ETL pipelines
Familiarity with at least one of: Hive, Presto, Snowflake, AWS Redshift, BigQuery,
A passion for programming and solving problems with code
A bachelor's degree in Computer Science/Software Engineering or equivalent industry experience
A love for technology, and an insatiable curiosity for new tools to tackle real problems
Why you'll love working at Faire:
We are entrepreneurs: We believe entrepreneurship is a calling and our mission is to empower entrepreneurs to chase their dreams. Every member of our team is an owner of the business and taking part in the founding process.
We are using tech and machine learning to level the playing field: We are using the power of technology and data to connect brands and boutiques from all over the world, building a thriving community of over 100,000 small business owners.
We build products our customers love: Everything we do is ultimately in the service of helping our customers grow their business because our goal is to grow the pie - not steal a piece from it. Running a small business is hard work, but using Faire makes it easy.
We are curious and resourceful: We always find a way to get the job done and come up with creative solutions to whatever problems are standing in our way. People at Faire are insatiably curious. We lead with curiosity and data in our decision making and reason from a first principles mindset.
Faire was founded in 2017 by a team of early product and engineering leads from Square. We're backed by some of the top investors in retail and tech including: Y Combinator, Lightspeed Venture Partners, Forerunner Ventures, Khosla Ventures, Sequoia Capital, Founders Fund, and DST Global. We have offices in San Francisco, Kitchener-Waterloo, and Salt Lake City. We're looking for smart, resourceful and passionate people to join us as we power the shop local movement. To learn more about Faire and our customers, you can read more on our blog.

Faire is being built for entrepreneurs, by entrepreneurs.

Additional Information

Faire provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression.",4.3,"Faire
4.3","San Francisco, CA",-1,201 to 500 Employees,2016,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,-1,0,123,217,170.0,"Faire
", CA,0,4,1,1,0,0,1,0
"Data Engineer, Analytics",$115k-$187k (Glassdoor Est.),"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Do you like working with big data? Do you want to use data to influence product decisions for products being used by hundreds of millions of people every day? If yes, we want to talk to you. Our data warehouse team works very closely with Product Managers, Product Analysts and Internet Marketers to figure out ways to acquire new users, retain existing users and optimize user experience - all of this using massive amounts of data. In this role, you will see a direct link between your work, company growth, and user satisfaction. You will be working with some of the brightest minds in the industry, and you'll get an opportunity to solve some of the most challenging business problems on the web and mobile Internet, at a scale that few companies can match.

This is a full time position based in our office in New York.
Inform, influence, support, and execute our product decisions and product launches
Manage data warehouse plans for a product or a group of products.
Interface with engineers, product managers and product analysts to understand data needs.
Partner with Product and Engineering teams to solve problems and identify trends and opportunities.
Build data expertise and own data quality for allocated areas of ownership.
Design, build and launch new data extraction, transformation and loading processes in production.
Support existing processes running in production.
Define and manage SLA for all data sets in allocated areas of ownership.
Work with data infrastructure to triage infra issues and drive to resolution.
BS/BA in Technical Field, Computer Science or Mathematics.
4+ years experience in the data warehouse space.
4+ years experience in custom ETL design, implementation and maintenance.
4+ years experience working with either a Map Reduce or an MPP system.
4+ years experience with schema design and dimensional data modeling.
4+ years experience in writing SQL statements.
Ability to analyze data to identify deliverables, gaps and inconsistencies.
Communication skills including the ability to identify and communicate data driven insights.
Ability in managing and communicating data warehouse plans to internal clients.
4+ years experience using Python or Java
Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law.Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.",4.5,"Facebook
4.5","San Francisco, CA",-1,10000+ Employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),-1,0,115,187,151.0,"Facebook
", CA,0,16,1,1,0,0,0,0
Senior Data Engineer,$146k-$260k (Glassdoor Est.),"Roofstock is the leading marketplace for investing in single-family rental homes that cash flow day one. With over $2B in transactions, our mission is to make real estate investing radically accessible, cost effective and simple. We want to use technology to transform the way real estate is bought and sold and make real estate investing as simple as investing in stocks. Simply put, we are passionate about helping our customers build wealth through real estate.

Roofstock has been recognized as a great workplace by Glassdoor and Great Place to Work® and was recently named to the Forbes Fintech 50 and the Red Herring 100 lists of most innovative companies. Roofstock has raised over $83M to date, is based in Oakland, CA and Dallas,TX with approximately 200 people and is growing rapidly. Check out our reviews and see why our employees love working here!

We are looking for a talented Senior Data Engineer to join our established, small but quickly growing company, working on a wide range of data projects in close collaboration with other data engineers, data scientists, and data analysts in an integrated Data Team. We use a modern all-cloud data stack including Airflow, Docker, DBT, Python, Snowflake, Tableau, Sigma, and our old friend SQL.

If you thrive in a team environment, are willing to pitch in wherever needed to help the team succeed, are passionate about data and excited about empowering users with data to drive decision making, Roofstock is the place for you.
What you will do:
Improve and maintain the data infrastructure
Design, implement and deploy, scalable, fault-tolerant pipelines that ingest, and refine large diverse (structured, semi-structured and unstructured datasets) into simplified accessible data models in production
Built departmental data-marts for supporting analytics across the company
Collaborate with cross-functional teams to understand data flows and processes to enable design and creation of the best possible solutions to each engineering challenge
Provide quality data solutions in a timely manner and be responsible for data governance and integrity while meeting objectives and maintaining SLAs
Build tools and fundamental data sets that encourage self-service
What you bring with you:
BS or MS in a technical field: computer science, engineering or similar
8+ years professional experience working with both relational and analytical databases (preferably SQL Server, PostgresSQL, Snowflake)
5+ years professional experience in building robust data pipelines (beyond simple API pulls) and writing ETL/ELT code (SSIS, Informatica, python code, shell scripts, complex SQL)
3+ years of experience working with Airflow, AWS/Azure
Expert understanding of the SDLC, data warehousing concepts and dimensional data modeling
Advanced skills related to database management, administration and security
Experience building and deploying data-related infrastructure (messaging, storage, compute, transform, execution via docker, and/or CI/CD pipelines across dev/stage/prod)
Experience in DBT is a plus
Strong communication and interpersonal skills
Roofstock is an equal opportunity employer. In keeping with the values of Roofstock, we make all employment decisions including hiring, evaluation, termination, promotional and training opportunities, without regard to race, religion, color, sex, age, national origin, ancestry, sexual orientation, physical handicap, mental disability, medical condition, disability, gender or identity or expression, pregnancy or pregnancy-related condition, marital status, height and/or weight.",4.3,"Roofstock
4.3","Oakland, CA",-1,51 to 200 Employees,2015,Company - Private,Real Estate,Real Estate,$10 to $25 million (USD),-1,0,146,260,203.0,"Roofstock
", CA,0,5,1,1,0,0,1,0
